,,,,,,,,,
""
1,JOHN PAYNE,36635,35,3,1,,38:44,38:43,"GERMANTOWN, TN"
2,MIKE GREER,61162,43,6,2,31:50,1:08:09,1:08:07,"GUELPH, CANADA"
