,,,,,,,,,
""
1,TIM HENDRICKS,60046,21,1,1,16:31,33:09,33:09,"CORONADO, CA"
2,BRONSON VENABLE,30024,24,2,2,16:57,34:14,34:14,"WYOMING, RI"
3,SANTIAGO MENDONCA,30052,34,3,3,16:57,34:45,34:45,"CRICIUMA, BRAZIL"
